Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,CPA,Mis,Dis,Rec,PrgR,Season
1,Max Aarons,ENG,DF,Bournemouth,23,2000,13.70,711,43,252,303,165,11,711,34,14,41.20,12,35.30,364,2174,1121,22,7,13,8,371,26,2024
2,Joshua Acheampong,ENG,DF,Chelsea,17,2006,0.10,6,5,5,0,1,0,6,0,0,,0,,1,18,12,0,0,0,0,0,0,2024
3,Tyler Adams,USA,MF,Bournemouth,24,1999,1.30,91,3,23,54,14,4,91,3,2,66.70,0,0.00,44,193,116,4,2,3,0,52,1,2024
4,Tosin Adarabioyo,ENG,DF,Fulham,25,1997,18.00,1390,181,713,631,48,29,1390,3,1,33.30,0,0.00,817,4560,2661,10,1,4,4,1009,5,2024
5,Elijah Adebayo,ENG,FW,Luton Town,25,1998,15.80,462,27,52,172,243,82,462,67,18,26.90,46,68.70,265,1516,425,16,13,62,34,337,110,2024
6,Simon Adingra,CIV,FW,Brighton,21,2002,24.70,1159,36,187,364,627,153,1159,123,50,40.70,64,52.00,773,5063,2996,111,63,48,28,795,278,2024
7,Nayef Aguerd,MAR,DF,West Ham,27,1996,20.60,1373,187,709,618,50,21,1373,5,3,60.00,2,40.00,861,4211,2388,10,0,10,2,912,3,2024
8,Brandon Aguilera,CRC,FW,Nott'ham Forest,20,2003,0.10,11,1,3,4,4,0,11,0,0,,0,,4,16,12,0,0,0,0,6,1,2024
9,Naouirou Ahamada,FRA,"MF,FW",Crystal Palace,21,2002,3.90,240,6,46,123,75,8,240,13,7,53.80,5,38.50,150,1018,486,19,4,8,11,169,20,2024
10,Anel Ahmedhodži?,BIH,DF,Sheffield Utd,24,1999,29.40,1336,229,736,507,104,33,1336,21,11,52.40,9,42.90,606,3527,1953,15,3,14,11,697,21,2024
11,Ola Aina,NGA,DF,Nott'ham Forest,26,1996,18.80,1020,62,340,464,227,13,1020,45,27,60.00,14,31.10,494,3136,1828,52,11,24,10,539,37,2024
12,Rayan Aït-Nouri,ALG,"DF,MF",Wolves,22,2001,25.90,1523,56,406,699,446,49,1523,115,62,53.90,39,33.90,868,4898,2435,67,8,51,56,1007,99,2024
13,Kristoffer Ajer,NOR,DF,Brentford,25,1998,20.40,1042,112,430,457,158,58,1042,12,10,83.30,2,16.70,464,2367,1435,22,5,16,6,563,31,2024
14,Manuel Akanji,SUI,"DF,MF",Manchester City,28,1995,27.90,2544,163,779,1385,392,27,2544,4,2,50.00,2,50.00,1639,8282,4923,46,3,14,9,1983,36,2024
15,Nathan Aké,NED,DF,Manchester City,28,1995,22.70,2026,105,634,1116,281,38,2026,10,5,50.00,3,30.00,1280,6039,3501,24,1,8,2,1507,18,2024
